District,Latitude,Longitude
Attock,33.416667,72.333333
Bahawalnagar,29.580077,72.995505
Bahawalpur,28.833333,71.666667
Bhakkar,31.672453,71.33895
Chakwal,32.89623,72.841628
Chiniot,31.669661,72.796963
Dera Ghazi Khan,30.45458,70.397671
Faisalabad,31.25,73.0
Gujranwala,32.166667,73.833333
Gujrat,32.583333,73.75
Hafizabad,32.051838,73.545152
Jampur,29.63828,70.577534
Jhang,31.166556,72.139989
Jhelum,32.829284,73.474199
Kasur,31.0,74.166667
Khanewal,30.463489,72.072317
Khushab,32.118017,72.050683
Kot Addu,30.430132,71.142119
Lahore,31.456845,74.407836
Layyah,30.984837,71.276167
Lodhran,29.672197,71.743793
Mandi Bahauddin,32.425642,73.474581
Mianwali,32.704351,71.517288
Multan,30.083333,71.666667
Murree,33.838444,73.410016
Muzaffargarh,29.816796,71.000948
Nankana Sahib,31.430542,73.849323
Narowal,32.209373,75.033669
Okara,30.697759,73.737445
Pakpattan,30.315872,73.240314
Rahim Yar Khan,28.488208,70.456866
Rajanpur,29.138064,70.124948
Rawalpindi,33.474113,73.408921
Sahiwal,30.547342,72.897892
Sargodha,32.166667,72.5
Sheikhupura,31.713612,74.026192
Sialkot,32.446429,74.571583
Talagang,32.84618,72.23406
Taunsa,30.892014,70.614469
Toba Tek Singh,30.929401,72.540183
Vehari,29.98225,72.320935
Wazirabad,32.34554,73.995484
