district_id,district_name,Latitude,Longitude
1.0,Attock,33.416667,72.333333
2.0,Bahawalnagar,29.580077,72.995505
3.0,Bahawalpur,28.833333,71.666667
4.0,Bhakkar,31.672453,71.33895
5.0,Chakwal,32.89623,72.841628
6.0,Chiniot,31.669661,72.796963
7.0,Dera Ghazi Khan,30.45458,70.397671
8.0,Faisalabad,31.25,73.0
9.0,Gujranwala,32.166667,73.833333
10.0,Gujrat,32.583333,73.75
11.0,Hafizabad,32.051838,73.545152
12.0,Jhang,29.63828,70.577534
13.0,Jhelum,31.166556,72.139989
14.0,Kasur,32.829284,73.474199
15.0,Khanewal,31.0,74.166667
16.0,Khushab,30.463489,72.072317
17.0,Kot Addu,32.118017,72.050683
18.0,Lahore,30.430132,71.142119
19.0,Layyah,31.456845,74.407836
20.0,Lodhran,30.984837,71.276167
21.0,Mandi Bahauddin,29.672197,71.743793
22.0,Mianwali,32.425642,73.474581
23.0,Multan,32.704351,71.517288
24.0,Murree,30.083333,71.666667
25.0,Muzaffargarh,33.838444,73.410016
26.0,Nankana Sahib,29.816796,71.000948
27.0,Narowal,31.430542,73.849323
28.0,Okara,32.209373,75.033669
29.0,Pakpattan,30.697759,73.737445
30.0,Rahim Yar Khan,30.315872,73.240314
31.0,Rajanpur,28.488208,70.456866
32.0,Rawalpindi,29.138064,70.124948
33.0,Sahiwal,33.474113,73.408921
34.0,Sargodha,30.547342,72.897892
35.0,Sheikhupura,32.166667,72.5
36.0,Sialkot,31.713612,74.026192
37.0,Talagang,32.446429,74.571583
38.0,Taunsa,32.84618,72.23406
39.0,Toba Tek Singh,30.892014,70.614469
40.0,Vehari,30.929401,72.540183
41.0,Wazirabad,29.98225,72.320935
,,32.34554,73.995484
