province_name,district_id,district_name,school_id,course_id,book_id,book_type,Book_title,mic_time_minutes,correct_word_count,total_word_count,incorrect_word_count,correct_with_assistance_word_count,book_completion_percentage,total_question_count,corrcet_answer_count,incorrect_answer_count,correct_answer_percentage
Punjab,39,Toba Tek Singh,24,5,8,Poem,The Rain and the Wind,27,6362,11681,5319,6362,0.46,187,98,89,0.5240641711229946
Punjab,8,Faisalabad,60,4,7,Non Fiction,Playground,8,7144,11580,4436,7144,0.57,277,140,137,0.5054151624548736
Punjab,22,Mianwali,62,1,8,Poem,The Rain and the Wind,25,3190,5552,2362,3190,0.64,207,148,59,0.714975845410628
Punjab,41,Wazirabad,64,3,2,Non Fiction,I like Cricket,24,7825,11051,3226,7825,0.81,271,193,78,0.7121771217712177
Punjab,3,Bahawalpur,88,1,1,Fiction,My Red Bull,19,7740,13640,5900,7740,0.49,231,64,167,0.27705627705627706
Punjab,16,Khushab,16,4,5,Fiction,Billty to the Rescue,17,4828,7347,2519,4828,0.83,273,100,173,0.3663003663003663
Punjab,21,Mandi Bahauddin,20,5,7,Non Fiction,Playground,13,6664,8870,2206,6664,0.28,212,24,188,0.11320754716981132
Punjab,11,Hafizabad,34,1,2,Non Fiction,I like Cricket,7,4834,8791,3957,4834,0.86,204,83,121,0.4068627450980392
Punjab,15,Khanewal,35,2,6,Fiction,One Big Cake,29,5387,9421,4034,5387,0.57,215,188,27,0.8744186046511628
Punjab,24,Murree,80,1,1,Fiction,My Red Bull,21,5025,8876,3851,5025,0.52,332,191,141,0.5753012048192772
Punjab,33,Sahiwal,90,2,5,Fiction,Billty to the Rescue,25,6500,11414,4914,6500,0.22,301,147,154,0.4883720930232558
Punjab,34,Sargodha,14,2,5,Fiction,Billty to the Rescue,39,3444,7647,4203,3444,0.46,240,89,151,0.37083333333333335
Punjab,29,Pakpattan,19,5,8,Poem,The Rain and the Wind,35,7245,12331,5086,7245,0.56,287,143,144,0.49825783972125437
Punjab,26,Nankana Sahib,23,4,2,Non Fiction,I like Cricket,29,7554,10539,2985,7554,0.33,191,34,157,0.17801047120418848
Punjab,38,Taunsa,50,1,3,Poem,Mia and Milan,27,6094,11534,5440,6094,0.49,223,20,203,0.08968609865470852
Punjab,35,Sheikhupura,63,5,1,Fiction,My Red Bull,38,5013,7551,2538,5013,0.67,321,105,216,0.32710280373831774
