province_name,district_id,course_id,book_id,book_type,reading_mode,mic_time_minutes,mic_time_seconds,correct_word_count,total_word_count,incorrect_word_count,correct_with_assistance_word_count,book_completion_percentage,total_question_count,corrcet_answer_count,incorrect_answer_count,correct_answer_percentage,words_needing_practice
Punjab,1,course_1,1-10,poem,assisted,1,60,12,16.8,4.800000000000001,,,,,,,
Punjab,2,course_2,,fiction,not_assisted,2,120,24,33.6,9.600000000000001,,,,,,,
Punjab,3,course_3,,history,assisted,3,180,36,50.4,14.399999999999999,,,,,,,
Punjab,4,course_4,,poem,not_assisted,4,240,48,67.2,19.200000000000003,,,,,,,
Punjab,5,course_5,,fiction,assisted,5,300,60,84.0,24.0,,,,,,,
Punjab,6,course_6,,history,not_assisted,6,360,72,100.8,28.799999999999997,,,,,,,
Punjab,7,course_7,,poem,assisted,7,420,84,117.6,33.599999999999994,,,,,,,
Punjab,8,course_1,,fiction,not_assisted,8,480,96,134.4,38.400000000000006,,,,,,,
Punjab,9,course_2,,history,assisted,9,540,108,151.2,43.19999999999999,,,,,,,
Punjab,10,course_3,,poem,not_assisted,10,600,120,168.0,48.0,,,,,,,
Punjab,11,course_4,,fiction,assisted,11,660,132,184.8,52.80000000000001,,,,,,,
Punjab,12,course_5,,history,not_assisted,12,720,144,201.6,57.599999999999994,,,,,,,
Punjab,13,course_6,,poem,assisted,13,780,156,218.4,62.400000000000006,,,,,,,
Punjab,14,course_7,,fiction,not_assisted,14,840,168,235.2,67.19999999999999,,,,,,,
Punjab,15,course_1,,history,assisted,15,900,180,252.0,72.0,,,,,,,
Punjab,16,course_2,,poem,not_assisted,16,960,192,268.8,76.80000000000001,,,,,,,
Punjab,17,course_3,,fiction,assisted,17,1020,204,285.6,81.60000000000002,,,,,,,
Punjab,18,course_4,,history,not_assisted,18,1080,216,302.4,86.39999999999998,,,,,,,
Punjab,19,course_5,,poem,assisted,19,1140,228,319.2,91.19999999999999,,,,,,,
Punjab,20,course_6,,fiction,not_assisted,20,1200,240,336.0,96.0,,,,,,,
Punjab,21,course_7,,history,assisted,1,60,12,16.8,4.800000000000001,,,,,,,
Punjab,22,course_1,,poem,not_assisted,2,120,24,33.6,9.600000000000001,,,,,,,
Punjab,23,course_2,,fiction,assisted,3,180,36,50.4,14.399999999999999,,,,,,,
Punjab,24,course_3,,history,not_assisted,4,240,48,67.2,19.200000000000003,,,,,,,
Punjab,25,course_4,,poem,assisted,5,300,60,84.0,24.0,,,,,,,
Punjab,26,course_5,,fiction,not_assisted,6,360,72,100.8,28.799999999999997,,,,,,,
Punjab,27,course_6,,history,assisted,7,420,84,117.6,33.599999999999994,,,,,,,
Punjab,28,course_7,,poem,not_assisted,8,480,96,134.4,38.400000000000006,,,,,,,
Punjab,29,course_1,,fiction,assisted,9,540,108,151.2,43.19999999999999,,,,,,,
Punjab,30,course_2,,history,not_assisted,10,600,120,168.0,48.0,,,,,,,
Punjab,31,course_3,,poem,assisted,11,660,132,184.8,52.80000000000001,,,,,,,
Punjab,32,course_4,,fiction,not_assisted,12,720,144,201.6,57.599999999999994,,,,,,,
Punjab,33,course_5,,history,assisted,13,780,156,218.4,62.400000000000006,,,,,,,
Punjab,34,course_6,,poem,not_assisted,14,840,168,235.2,67.19999999999999,,,,,,,
Punjab,35,course_7,,fiction,assisted,15,900,180,252.0,72.0,,,,,,,
Punjab,36,course_1,,history,not_assisted,16,960,192,268.8,76.80000000000001,,,,,,,
Punjab,37,course_2,,poem,assisted,17,1020,204,285.6,81.60000000000002,,,,,,,
Punjab,38,course_3,,fiction,not_assisted,18,1080,216,302.4,86.39999999999998,,,,,,,
Punjab,39,course_4,,history,assisted,19,1140,228,319.2,91.19999999999999,,,,,,,
Punjab,40,course_5,,poem,not_assisted,20,1200,240,336.0,96.0,,,,,,,
Punjab,41,course_6,,fiction,assisted,1,60,12,16.8,4.800000000000001,,,,,,,
